Id,SalePrice
1461,134513.11151844304
1462,156154.2393643964
1463,183561.49522682143
1464,193660.53683359348
1465,195902.42952767317
1466,178938.02486728947
1467,171552.0777499027
1468,167526.16610465807
1469,180171.79835612356
1470,125513.18177287564
1471,197291.28336998337
1472,95794.22379022742
1473,92027.4725244936
1474,146420.14671354633
1475,118444.19007117284
1476,420627.1838468653
1477,249112.91094770283
1478,316482.565831377
1479,309079.9788784913
1480,495240.6417653201
1481,298931.04018765275
1482,215595.15172195577
1483,161847.49618445762
1484,173503.93180088035
1485,171663.4667065517
1486,195934.3525424025
1487,351073.96315308317
1488,257359.32180133622
1489,216196.87258974125
1490,206201.32493784605
1491,193798.61721233354
1492,93800.32734776802
1493,205257.60940976284
1494,295526.7554760516
1495,270318.73192591086
1496,223014.10383309465
1497,187678.75341903145
1498,156711.25350694594
1499,150679.45036772912
1500,150516.52694143725
1501,174833.02034930134
1502,146642.53135001883
1503,289264.86996371043
1504,237712.15447081492
1505,216397.49681809166
1506,158690.63567497194
1507,224503.04000389695
1508,180298.29243081232
1509,152266.37895721136
1510,147474.27723105007
1511,145733.68026355503
1512,163118.39234694015
1513,154552.17538229853
1514,146624.49161467495
1515,184551.63923758268
1516,152854.67099123955
1517,151415.96128566717
1518,137122.24734817533
1519,227232.1909027226
1520,130151.82280704186
1521,131509.44880375644
1522,166068.59775012516
1523,103758.04856880753
1524,111508.41377586199
1525,124075.56757463021
1526,125457.23377061321
1527,90361.86385244729
1528,135537.11479880853
1529,137739.1222059642
1530,172647.66726146033
1531,116592.54171896962
1532,85612.32908876553
1533,126701.31963291609
1534,120592.88741587086
1535,158273.67028379912
1536,106540.7569570153
1537,84405.49668873205
1538,163486.2949175051
1539,187685.857969394
1540,116720.7868705678
1541,151517.58048492757
1542,142616.41401844737
1543,198480.88807832083
1544,74188.41384560049
1545,105878.79013915306
1546,137830.84633747835
1547,136636.61170365033
1548,126066.44862503302
1549,123738.64808478265
1550,131900.2468726072
1551,110313.36393422884
1552,146423.25641904987
1553,150849.27799546512
1554,112008.72156343135
1555,182058.38545818022
1556,96957.54699802592
1557,82106.55074086925
1558,107716.20595395492
1559,94738.7097782719
1560,123994.02428247461
1561,122928.53386394893
1562,133435.07671257367
1563,121175.07599174533
1564,157793.37457489345
1565,158905.49890625713
1566,242478.86987596605
1567,73890.03087878958
1568,219517.95159135337
1569,146111.04978382352
1570,155789.68171187857
1571,136340.17453119744
1572,143115.23192649192
1573,241262.50642814836
1574,121114.48183349441
1575,210369.1038994105
1576,223148.77818542233
1577,211640.29928366607
1578,130366.85358886709
1579,147513.90497032407
1580,194219.26586878963
1581,149990.85622473527
1582,123909.08001979133
1583,292777.52248334885
1584,247843.12380370955
1585,140771.83842730417
1586,72172.79800923697
1587,115852.37214492225
1588,148065.01067330225
1589,106598.25787127804
1590,123853.53977645891
1591,101857.42904722768
1592,125544.05099414624
1593,110203.22595319546
1594,147359.26021178602
1595,129212.29584210555
1596,214092.03740055047
1597,178926.2066202797
1598,194377.36174174835
1599,175825.42014208622
1600,180385.6696091683
1601,49842.32756849547
1602,127995.28291542722
1603,72711.70682076676
1604,285211.33867658896
1605,232311.47249289893
1606,169316.83559185272
1607,171021.68742534262
1608,205654.64902758755
1609,203235.78469129305
1610,162880.5203105154
1611,144969.04707239178
1612,177685.81949241646
1613,172540.59411918372
1614,110711.7038318016
1615,83369.95249344707
1616,82863.68393828976
1617,83347.3859367745
1618,124794.9559758993
1619,146512.12605496764
1620,185199.08172865727
1621,149043.39745568682
1622,147822.72115382165
1623,260559.1436308602
1624,222843.266850362
1625,127817.77389534032
1626,165826.36148344923
1627,193978.0706157945
1628,271938.62446095806
1629,179423.66408840768
1630,299799.27386238414
1631,211078.09898800074
1632,230314.18805658305
1633,174979.773917634
1634,180258.39126739537
1635,172908.47912405868
1636,163030.0493561274
1637,176458.8186649545
1638,208129.4928776643
1639,180668.77008100777
1640,251401.68671730216
1641,172356.50359662963
1642,215975.2799288001
1643,234999.49600841623
1644,233645.55456884168
1645,177377.9453218312
1646,155572.9598453236
1647,156871.59493899357
1648,140767.20695539913
1649,131079.70932962533
1650,113812.67124285965
1651,123652.29000276318
1652,92949.41212572962
1653,91616.89961044509
1654,149613.20601941415
1655,131754.38149669179
1656,143938.72699861045
1657,146950.72378780146
1658,150739.06622690242
1659,113799.20242639413
1660,163009.63805553954
1661,458852.1689611411
1662,415612.71747284377
1663,366488.17410598905
1664,465358.98645328725
1665,330982.6174582914
1666,321678.87342404306
1667,366049.6284023658
1668,328445.38100120623
1669,280905.76533433417
1670,350060.76850902435
1671,248927.3026800225
1672,438728.7102067034
1673,308252.4207270793
1674,259416.1726193815
1675,187461.82170216343
1676,190144.9863914904
1677,212834.90936925772
1678,465591.2364192767
1679,369463.1061260491
1680,343049.4383171956
1681,286984.6454688975
1682,303738.74027876573
1683,184815.95560931505
1684,176992.91376899657
1685,172522.06466242467
1686,162914.48042177584
1687,170635.12809462115
1688,195457.9795053595
1689,205637.8640545316
1690,183542.73017529567
1691,174256.24552392552
1692,269315.2213483794
1693,169384.30245738465
1694,172197.7906374263
1695,168462.18231170296
1696,265619.33618718653
1697,171895.446329181
