ID,item_cnt_month
0,0.997754
1,1.0650415
2,0.997301
3,0.98428404
4,0.96614957
5,0.9942238
6,1.0603175
7,0.9292783
8,1.0650415
9,0.98446995
10,1.0469017
11,1.3740721
12,0.94560266
13,1.0076587
14,1.0049027
15,0.97500277
16,0.91937006
17,0.94560266
18,0.9217415
19,0.9544469
20,1.022432
21,0.93981194
22,1.20854
23,0.9598559
24,0.93196684
25,0.9256562
26,0.9256562
27,0.92651963
28,0.92651963
29,1.3771586
30,0.9348495
31,0.9348495
32,0.9348495
33,1.0160199
34,0.92651963
35,0.94891053
36,0.9459027
37,0.9912389
38,0.9554931
39,0.9453781
40,0.9453781
41,0.9901973
42,1.0203397
43,1.338851
44,1.7192377
45,1.4280657
46,1.4280657
47,1.1951537
48,1.276899
49,1.1291417
50,1.135129
51,0.9453781
52,0.91155875
53,1.3392193
54,0.8127934
55,1.0272427
56,0.81069756
57,0.7595476
58,1.1546458
59,1.3197143
60,0.9630846
61,0.9212764
62,0.9212764
63,0.80781734
64,0.80781734
65,0.91101795
66,0.8634598
67,0.8517604
68,0.9946843
69,1.0042099
70,0.89922404
71,1.0507855
72,0.7417415
73,0.8533884
74,0.91426814
75,0.91426814
76,0.94731355
77,0.91426814
78,0.84462255
79,0.91885424
80,0.9498078
81,1.0392495
82,1.0297668
83,0.8279237
84,0.9891937
85,0.9798275
86,0.9798275
87,0.9561299
88,1.0143445
89,0.9841943
90,0.96038693
91,0.9711066
92,0.9841347
93,0.96644884
94,0.978215
95,0.9544102
96,0.96038693
97,0.94852746
98,0.9453908
99,0.91207194
100,0.8523077
101,1.1746557
102,1.0907011
103,1.4601135
104,1.0880859
105,1.112205
106,0.9439604
107,1.0014228
108,0.9615091
109,0.96846306
110,0.9871411
111,0.9871411
112,0.97706175
113,0.97706175
114,0.9609096
115,0.9897146
116,0.93663335
117,0.94731355
118,1.3470728
119,1.0220671
120,1.0605044
121,1.0605044
122,1.0605044
123,1.0193264
124,1.0193264
125,1.0290532
126,1.0138857
127,0.96945405
128,0.96945405
129,0.9624119
130,1.2732387
131,1.0013397
132,1.1450639
133,2.925307
134,1.0290532
135,1.5780367
136,1.1871132
137,1.1871132
138,0.99170077
139,0.99170077
140,0.9840626
141,0.9840626
142,1.011123
143,1.011123
144,1.0150955
145,1.0150955
146,1.0150955
147,0.9743817
148,0.9743817
149,0.98920083
150,0.96945405
151,1.011123
152,2.2330172
153,0.9315182
154,0.9315182
155,0.9595252
156,0.8962791
157,0.8962791
158,0.92019236
159,0.93665206
160,1.1981391
161,0.9315182
162,1.1981391
163,0.9874551
164,1.018586
165,0.981537
166,0.97895586
167,0.981537
168,0.9780029
169,0.981537
170,0.9315182
171,0.87386405
172,0.9851048
173,0.8793235
174,0.934115
175,0.76701313
176,1.0259165
177,0.9959447
178,1.0268791
179,1.0165563
180,1.0988135
181,1.0068865
182,0.9954525
183,0.9954525
184,0.9935771
185,0.9935771
186,0.9851048
187,0.9632585
188,0.93663335
189,0.93663335
190,0.93221605
191,1.0686896
192,0.93698144
193,0.92473567
194,0.92473567
195,0.92473567
196,0.9151303
197,1.044364
198,0.9226321
199,0.89132583
200,0.89132583
201,0.89132583
202,1.0765259
203,1.1921198
204,0.98897547
205,0.9399822
206,0.9399822
207,0.9229021
208,0.9452606
209,0.9411067
210,0.9411067
211,0.9341418
212,0.9341418
213,0.93698144
214,0.9411067
215,0.962664
216,0.962664
217,0.9296983
218,1.0128736
219,0.99797034
220,0.9897146
221,1.0127697
222,0.9781462
